Crivella-PRB	        32	31	12
Pedro-Paulo-PMDB	12	27	11
Jandira-Feghali-PCdoB	7	24	11
Flávio-Bolsonaro-PSC	8	16	9
Marcelo-Freixo-PSOL	16	12	8
Indio-da-Costa-PSD	11	11	12
Alessandro-Molon-REDE	2	10	0
Osorio-PSDB		10	9	10
Cyro-Garcia-PSTU	0	9	0
Thelma-Bastos-PCO	0	7	0
Carmen-Migueles-NOVO	1	3	0

